Artnr;Inhalt
1137386;<h2>Klüber WOLFRAKOTE TOP FLUID, WOLFRAKOTE TOP FLUID S: Festschmierstoffhaltige Suspension für Hochtemperaturanwendungen</h2>  <p>Festschmierstoffhaltige Suspension für Hochtemperaturanwendungen bis 1000°C</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3>  <p>WOLFRAKOTE TOP FLUID und WOLFRAKOTE TOP FLUID S sind festschmierstoffhaltige Suspensionen auf Basis von Mineralöl- und Kohlenwasserstoffölen. Diese Produkte sind speziell für Hochtemperaturanwendungen entwickelt und bieten hervorragende Schmierungseigenschaften bei Temperaturen bis zu 1000°C. Bei Temperaturen über 200°C verdampft das Grundöl, während die Festschmierstoffkombination als Trockenschmierstoff wirkt, was eine effiziente Schmierung auch unter extremen Bedingungen gewährleistet.</p>  <h3>Vorteile</h3>  <ul>   <li>Für hohe Temperaturen bis ca. 1000°C geeignet</li>   <li>Gutes Benetzungsvermögen</li>   <li>Gute Kriecheigenschaften</li> </ul>  <h3>Anwendungsgebiete</h3>  <p>WOLFRAKOTE TOP FLUID und WOLFRAKOTE TOP FLUID S werden zur Schmierung von Transportketten in Tubenglühöfen, Blockwärmeöfen und Entspannungsöfen verwendet, die bei Anwendungstemperaturen über 250°C betrieben werden. Diese Schmierstoffe bieten zuverlässigen Schutz und Schmierung unter extremen Bedingungen und verlängern die Lebensdauer der Ketten.</p>  <ul>   <li>Transportketten in Tubenglühöfen</li>   <li>Blockwärmeöfen</li>   <li>Entspannungsöfen</li> </ul>  <h3>Anwendungshinweise</h3>  <p>Für die Erstschmierung von WOLFRAKOTE TOP FLUID wird ein Pinsel verwendet, während die Nachschmierung mit einem automatischen Dosiergerät bei einer empfohlenen Kettentemperatur von 100 - 150°C erfolgt.</p>  <p>WOLFRAKOTE TOP FLUID S wird beim Kettenhersteller im Tauchverfahren erstgeschmiert und anschließend mit einem automatischen Dosiergerät nachgeschmiert. Die empfohlene Kettentemperatur bei der Nachschmierung liegt unter 100°C. Da WOLFRAKOTE TOP FLUID S ein Lösungsmittel enthält, ist darauf zu achten, dass bei der Verarbeitung keine Zündquellen in der Nähe sind und die Angaben im Sicherheitsdatenblatt beachtet werden. Um das Absetzen von Festschmierstoffen zu verhindern, sollte bei Verwendung von automatischen Dosiergeräten ein Rührwerk eingesetzt werden.</p>  <p>Weitere Anwendungstipps:</p> <ul>   <li>Erstschmierung mit Pinsel</li>   <li>Nachschmierung mit automatischem Dosiergerät</li>   <li>Verwendung eines Rührwerks bei automatischen Dosiergeräten</li>   <li>Sicherheitsvorkehrungen bei Verwendung von WOLFRAKOTE TOP FLUID S beachten</li> </ul> } 
1138087;<h2>Summit NGL 444, 555, 777, 888: Synthetische Kompressorenöle zur Gasverdichtung</h2>  <p>Speziell für Hochdruck-Kolbenkompressoren entwickeltes Schmieröl zur Verdichtung von Erdgas, Kohlendioxid und Prozessgasen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Die Klüber Summit NGL-Serie umfasst hochwertige, synthetische Kompressorenöle, entwickelt für spezifische Anforderungen in der Gasverdichtung. Diese Öle basieren auf fortschrittlichen Polyalkylenglykol-Formulierungen, angereichert mit speziellen Additiven. Sie bieten eine hervorragende Beständigkeit gegen Verdünnung und Absorption durch diverse Gase und sind für ein breites Spektrum von Hochdruckkolbenkompressoren geeignet. Die Produkte zeichnen sich durch einen hohen Viskositätsindex aus, was eine gleichbleibende Schmierleistung über einen weiten Temperaturbereich garantiert.</p>  <h3>Vorteile</h3> <ul>   <li>Speziell für Hochdruckkolbenkompressoren entwickelt</li>   <li>Hohe Resistenz gegen Absorption und Verdünnung von kohlenwasserstoffhaltigen Gasen</li>   <li>Chemische Beständigkeit bei Prozessgasen</li>   <li>Stabile Schmierfähigkeit in einem breiten Temperaturbereich</li>   <li>Verbesserter Verschleißschutz für längere Bauteillebensdauer</li>   <li>Reduzierte Rückstandsbildung, verlängert Lebensdauer von Ventilen und Kolbenringen</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Die Klüber Summit NGL-Öle sind ideal für die Verwendung in Hochdruck-Kolbenkompressoren zur Verdichtung von Erdgas, Kohlendioxid und verschiedenen Prozessgasen wie Wasserstoff, Helium und Stickstoff. Sie eignen sich zur Schmierung aller ölgeschmierten Teile von Kolbenkompressoren, inklusive Zylinder, Lager und Hochdruckpackungen.</p> <ul>   <li>Erdgas- und Kohlendioxidverdichtung</li>   <li>Prozessgasverdichtung (Wasserstoff, Helium, Stickstoff)</li>   <li>Ölgeschmierte Komponenten von Kolbenkompressoren</li> </ul>  <h3>Anwendungshinweise</h3> <p>Beim Wechsel von Mineralöl oder PAO-basierten Ölen auf Klüber Summit NGL-Produkte sind spezifische Umstellungshinweise zu beachten. Das alte Öl sollte aus dem System so vollständig wie möglich entfernt werden, insbesondere aus Kühlern und Leitungen im betriebswarmen Zustand. Filter sind zu reinigen oder zu ersetzen. Nach dem Wechsel ist es empfehlenswert, das System mit den Klüber Summit NGL-Ölen neu zu befüllen und ein Etikett mit Produktbezeichnung und Fülldatum anzubringen.</p> } 
1139992;<h2>Klüber Klüberfood 4 NH1- 46: Synthetisches Hydrauliköl für die Lebensmittel- und pharmazeutische Industrie</h2>  <p>Vollsynthetisches Hydrauliköl, NSF-H1 registriert, für verlängerte Ölwechselintervalle und reduzierte Betriebskosten.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klüberfood 4 NH1-46 ist ein hochwertiges, vollsynthetisches Hydrauliköl, das speziell für den Einsatz in der Lebensmittel- und pharmazeutischen Industrie entwickelt wurde. Auf Basis synthetischer Kohlenwasserstoffe und spezieller Additive bietet es eine hervorragende Oxidationsstabilität, Tieftemperaturbeständigkeit und Schutz vor Reibung und Verschleiß. Die NSF H1 Registrierung gewährleistet die Konformität mit FDA 21 CFR \'a7 178.3570, was es ideal für den unvorhersehbaren Kontakt mit Lebensmitteln, Kosmetika und pharmazeutischen Produkten macht. Klüberfood 4 NH1-46 erfüllt die HLP-Anforderungen nach DIN 51524 Teil 2 und zeichnet sich durch gute Wasserabscheide- und Korrosionsschutzmerkmale aus.</p>  <h3>Vorteile</h3> <ul>   <li>Vollsynthetisches Grundöl für verlängerte Ölwechselintervalle</li>   <li>Reduzierte Betriebskosten durch bessere Ölstabilität</li>   <li>Weniger Schmutzablagerungen und Ventilverstopfungen</li>   <li>NSF-H1 Registrierung für erhöhte Prozesszuverlässigkeit</li>   <li>Erfüllt HLP-Anforderungen nach DIN 51524 Teil 2</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klüberfood 4 NH1-46 Hydrauliköle werden insbesondere in der Lebensmittel- und pharmazeutischen Industrie eingesetzt. Sie sind geeignet für Hydrauliksysteme, die einen unvorhersehbaren Kontakt mit Lebensmitteln, Kosmetika und pharmazeutischen Produkten haben können. </p> <ul>   <li>Lebensmittelindustrie</li>   <li>Pharmazeutische Industrie</li>   <li>Kosmetikindustrie</li>   <li>Tierfutterproduktion</li> </ul>  <h3>Anwendungshinweise</h3> <p>Die Klüberfood 4 NH1-Öle sind mit mineralölbasischen Hydraulikflüssigkeiten mischbar, jedoch wird eine Spülung mit einem geeigneten Klüberfood 4 NH1-Öl empfohlen, um Rückstände zu entfernen. Die Spülung sollte auf 50 bis 60°C erwärmt werden. Nach der Spülung sind die Filter zu wechseln, bevor das System mit Klüberfood 4 NH1-46 befüllt wird.</p> } 
1140160;<h2>Klüber Summit NGSH-68, -100, -150, -220: Synthetische Kompressorenöle zur Gasverdichtung</h2>  <p>Kompressorenöle zur Schmierung und Gasverdichtung in Kolben- und Schraubenkompressoren im Erdgasbereich.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Die Klüber Summit NGSH-Serie umfasst hochwertige, synthetische Kompressorenöle, die speziell zur Schmierung und Gasverdichtung in Kolben- und Schraubenkompressoren im Erdgasbereich entwickelt wurden. Diese Öle basieren auf synthetischen Kohlenwasserstoffen und speziellen Additiven, die ausgezeichneten Schutz vor Verschleiß und Korrosion bieten, selbst bei schwefelwasserstoffhaltigen Gasen. Sie zeichnen sich durch hervorragende Korrosionsschutzmerkmale aus und gewährleisten eine zuverlässige Leistung unter verschiedenen Betriebsbedingungen.</p>  <h3>Vorteile</h3> <ul>   <li>Optimale Schmierung für Kolben- und Schraubenkompressoren im Erdgasbereich</li>   <li>Gute Korrosionsschutzmerkmale</li>   <li>Schützt gegen Korrosion durch Schwefelwasserstoff</li>   <li>Hervorragender Verschleißschutz</li>   <li>Verträglichkeit mit mineralölbeständigen Werkstoffen</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Die Klüber Summit NGSH-Kompressorenöle sind besonders geeignet für Kolben- und Schraubenkompressoren, die zur Verdichtung von Erdgasen und anderen gasförmigen Medien eingesetzt werden. Sie bieten optimalen Schutz und Schmierung, selbst unter extremen Bedingungen.</p> <ul>   <li>Kolbenkompressoren für Erdgasverdichtung</li>   <li>Schraubenkompressoren für Erdgasverdichtung</li>   <li>Kompressoren zur Verdichtung schwefelwasserstoffhaltiger Gase</li> </ul>  <h3>Anwendungshinweise</h3> <p>Das bisherige Kompressorenöl sollte vor dem Einsatz von Klüber Summit NGSH-Ölen soweit wie möglich aus dem System entfernt werden. Besonders im betriebswarmen Zustand ist darauf zu achten, dass das Altöl aus Kühlern, Abscheidetanks und allen Leitungen abgelassen wird. Nach der Reinigung oder dem Austausch der Filter erfolgt die Neubefüllung mit dem vorgesehenen Klüber Summit NGSH-Kompressorenöl. Wir empfehlen, auf dem Schmierstofffilter oder der Kompressorenabdeckung ein Etikett anzubringen, auf dem die Schmierstoffbezeichnung und das Fülldatum vermerkt sind.</p> } 
1140195;<h2>Klüber SYNTHESIN PDL 250/01: Tieftemperatur-Kontaktfett</h2>  <p>Anwendbar bei sehr tiefen Temperaturen, ideal für elektrische Kontakte mit guten Korrosionsschutzmerkmalen.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>SYNTHESIN PDL 250/01 ist ein vollsynthetisches Fett, das speziell zur Schmierung elektrischer Kontakte bei sehr tiefen Temperaturen entwickelt wurde. Es bietet hervorragende Korrosionsschutzmerkmale und ist für alle gängigen Kontaktwerkstoffe geeignet.</p>  <h3>Vorteile</h3> <ul>   <li>Anwendbar bei sehr tiefen Temperaturen</li>   <li>Gute Korrosionsschutzmerkmale</li>   <li>Für alle gängigen Kontaktwerkstoffe geeignet</li> </ul>  <h3>Anwendungsgebiete</h3> <p>SYNTHESIN PDL 250/01 eignet sich besonders zur Schmierung von Kontakten bei tiefen Temperaturen und niedrigen Kontaktkräften. Es hat sich zur Schmierung der Kommutatoren von Miniaturelektromotoren bewährt und ist ideal für Anwendungen, die eine zuverlässige Schmierung unter extremen Kältebedingungen erfordern.</p> <ul>   <li>Schmierung von elektrischen Kontakten</li>   <li>Miniaturelektromotoren</li>   <li>Kommutatoren</li> </ul>  <h3>Anwendungshinweise</h3> <p>Um die volle Leistungsfähigkeit von SYNTHESIN PDL 250/01 zu erzielen, müssen die zu befettenden Teile von Korrosionsschutzölen, Wachsen oder sonstigen Fremdstoffen befreit werden. Der Schmierstoff kann dann auf die metallisch blanken Oberflächen mit einem Spatel, im Tamponprint-Verfahren oder mit einer anderen automatischen Dosiereinrichtung aufgetragen werden. Im Hinblick auf die Verträglichkeit mit Elastomeren und Kunststoffen ist aufgrund der vielen unterschiedlichen Zusammensetzungen die Verträglichkeit mit SYNTHESIN PDL 250/01 zu überprüfen.</p> } 
1140897;<h2>PETAMO GHY 441, 443: Langzeithochtemperaturschmierstoff für hochbelastete Wälzlager</h2>  <p>Langzeitschmierstoff für hochbelastete Wälz- und Gleitlager, hervorragende Wasserbeständigkeit und Korrosionsschutz.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>PETAMO GHY 443 sowie die zur Nachschmierung zu empfehlende weichere Einstellung PETAMO GHY 441 sind esterölbasierte, polyharnstoffverdickte Spezialschmierfette. Sie werden speziell zur Schmierung hochbelasteter Wälz- und Gleitlager bei gleichzeitig hoher thermischer Beanspruchung verwendet. Als leistungsfähigere Alternative zu Produkten auf Mineralölbasis erreichen sie eine deutlich längere Lebensdauer und helfen somit, die Instandhaltungskosten zu reduzieren. Aufgrund der hohen Grundölviskosität sowie sehr guten thermischen Stabilität wird PETAMO GHY 441 / 443 hauptsächlich für größere Wälzlager verwendet.</p>  <h3>Vorteile</h3> <ul>   <li>Bewährtes Long-Life-Schmierfett für niedrigen Wartungsaufwand und hohe Zuverlässigkeit</li>   <li>Gutes Druckaufnahmevermögen verhindert Verschleiß, dadurch erhöhte Lagerlebensdauer</li>   <li>Hervorragende Wasserbeständigkeit und Korrosionsschutz schützen vor frühzeitigem Lagerausfall und helfen somit die Instandhaltungskosten zu minimieren</li>   <li>Reduzierter Fettverbrauch durch synthetisches Fettkonzept und damit verbundener hoher Alterungs- und Oxidationsstabilität</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Zur Erst- und Nachschmierung von temperaturbelasteten Wälz- und Gleitlagern im allgemeinen Maschinenbau, Elektromotoren, Laufrollen- und Förderanlagen, Walzenlagerungen und kontinuierlichen Holzplattenpressen, Laufrollen in Stranggießanlagen und vielen weiteren Anwendungen.</p>  <h3>Anwendungshinweise</h3> <p>Die Produkte können mit Spatel, Pinsel, Fettpresse und Fettpatrone oder über Zentralschmieranlagen (PETAMO GHY 441) angewendet werden. Vor der Anwendung ist zu prüfen, ob bereits verwendete Fette mit PETAMO GHY 441 / 443 mischbar sind oder ob bei Neubefettung eine Lagerreinigung vorzunehmen ist.</p> } 
1143952;<h2>Klüber BARRIERTA KL 092: Hochtemperatur-Langzeitschmierstoffe mit gutem Tieftemperaturverhalten</h2>  <p>Effiziente Langzeitschmierung bei hohen und niedrigen Temperaturen, beständig gegenüber aggressiven Chemikalien.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>BARRIERTA KL 092 ist ein Hochtemperatur-Langzeitschmierstoff auf Basis von Perfluorpolyetheröl (PFPE). Als europäische Qualitätsmarke für Hochtemperatur-Schmierstoffe bietet BARRIERTA eine hervorragende Langzeitbeständigkeit und Temperaturstabilität. Die Schmierstoffe dieser Reihe zeichnen sich durch geringe Laufmomente bei tiefen Temperaturen und überzeugende Langzeitstabilität unter hoher Medien- und Temperaturbelastung aus. BARRIERTA KL 092 ermöglicht eine zuverlässige Schmierung in verschiedenen Industriebereichen, selbst unter extremen Bedingungen.</p>  <h3>Vorteile</h3> <ul>   <li>Erhöhte Bauteilverfügbarkeit über weite Gebrauchstemperaturbereiche</li>   <li>Lange theoretische Fettlebensdauer bei Kontakt mit aggressiven Chemikalien</li>   <li>Verbesserte Bauteilperformance durch niedrige Anlaufmomente auch bei geringen Temperaturen</li>   <li>Gute Drehzahlverträglichkeit und temperaturunabhängige Reibwerte</li> </ul>  <h3>Anwendungsgebiete</h3> <p>BARRIERTA KL 092 ist ideal für die Langzeitschmierung von Wälz- und Gleitlagern, die unter wechselnden Umweltbedingungen betrieben werden. Es bewährt sich in Ventilen und Dichtungen, insbesondere in Motorventilen und Hydraulikzylindern, und zeigt eine hohe Beständigkeit gegen Bremsflüssigkeiten vom Typ DOT 3, 4, 5 und 5.1. Das Schmierfett verhält sich neutral gegenüber marktüblichen Kunststoff- und Elastomermaterialien.</p> <ul>   <li>Wälzlager und Führungen</li>   <li>Ventile und Dichtungen</li>   <li>Hydraulikzylinder</li>   <li>Schmierstoff für extreme Temperaturen</li> </ul>  <h3>Anwendungshinweise</h3> <p>Für bestmögliche Schmierung empfehlen wir, vor der Erstanwendung die Reibstelle mit Testbenzin 180/210 und anschließend mit Klüberalfa XZ 3-1 zu reinigen. Danach sollte die Reibstelle mit sauberer, trockener Druckluft oder einer Wärmedusche behandelt werden, um das Lösemittel rückstandsfrei zu entfernen. Die Reibstelle muss bei der Erstschmierung blank (d.h. frei von Ölen, Fetten und Handschweiß) und frei von Schmutzpartikeln sein. Zur Optimierung der Standzeiten wenden Sie sich bitte an unseren technischen Vertrieb.</p> } 
1145951;<h2>Klüber Tyreno Fluid 3-6V, 6-14V, 12-25V: Hochleistungs-Vakuumpumpenöl für Fein- und Hochvakuum</h2>  <p>Vakuumpumpenöl mit hoher Sauerstoff- Druckstoßkapilität und guter Resistenz gegenüber diversen Chemikalien</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3>  <p>Klüber Tyreno Fluid 3-6V, 6-14V, 12-25V ist ein speziell entwickeltes Hochleistungs-Vakuumpumpenöl für den Einsatz in Fein- und Hochvakuumanlagen. Es basiert auf chemisch stabilen, perfluorierten Polyetherölen (PFPE) und ist ideal für Anwendungen, die eine hohe chemische Beständigkeit und thermische Stabilität erfordern. Dieses Vakuumpumpenöl bietet eine ausgezeichnete Betriebszuverlässigkeit in Vakuumpumpen sowie in Anlagen und Bauteilen, die mit gasförmigem Sauerstoff betrieben werden.</p>  <h3>Vorteile</h3>  <ul>   <li>Hohe Betriebszuverlässigkeit in Vakuumpumpen</li>   <li>Niedriger Öldampfdruck</li>   <li>Sehr geringe Neigung zur thermischen Alterung</li>   <li>Gute chemische Stabilität gegenüber aggressiven Medien</li>   <li>Hohe Sauerstoff-Druckstoßbeständigkeit</li>   <li>Vielseitig als Gleitmittel verwendbar</li> </ul>  <h3>Anwendungsgebiete</h3>  <p>Klüber Tyreno Fluid 3-6V, 6-14V, 12-25V wird als Füllflüssigkeit in mechanischen Vorpumpen, Diffusions- oder Turbomolekularpumpen eingesetzt. Es ist besonders geeignet für das Abpumpen von gasförmigem Sauerstoff und andere aggressive Medien. Weitere Anwendungen umfassen die Schmierung von Ventilen, Armaturen und Anlagen in der chemischen Industrie sowie die Wartung und Pflege von Atemgeräten.</p>  <ul>   <li>Mechanische Vorpumpen</li>   <li>Diffusionspumpen</li>   <li>Turbomolekularpumpen</li>   <li>Schmierung von Ventilen und Armaturen</li>   <li>Wartung von Atemgeräten</li> </ul>  <h3>Anwendungshinweise</h3>  <p>Vor dem Auftragen müssen die zu benetzenden Oberflächen sorgfältig gereinigt werden. Die Reib- und Schmierstellen sollten metallisch blank und frei von Ölen, Fetten, Schmutzpartikeln und Handschweiß sein. Es wird empfohlen, die Oberflächen mit sauberem Testbenzin und anschließend mit Klüberalfa XZ 3-1 zu reinigen. Die Aufbringung des Gleitmittels sollte \'84Oxygen-Clean\ldblquote  erfolgen, um den Zustand \'84Ready for Oxygen Service\ldblquote  zu erreichen. Die Tieftemperatureignung und andere anwendungsspezifische Anforderungen müssen experimentell überprüft und freigegeben werden.</p>  <p>Weitere Anwendungstipps:</p> <ul>   <li>Oberflächen gründlich reinigen</li>   <li>Gleitmittel \'84Oxygen-Clean\ldblquote  auftragen</li>   <li>Empfohlene Reinigungslösungen verwenden</li>   <li>Anwendungsspezifische Tests durchführen</li> </ul> } 
1152041;<h2>Klüber WOLFRACOAT C FLUID: Hochtemperatur-Schmiercompound</h2>  <p>Dickflüssiges Hochtemperatur-Trennmittel für thermisch hochbeanspruchte Flächen und Korrosionsschutz</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3>  <p>WOLFRACOAT C FLUID ist ein dickflüssiges Hochtemperatur-Trennmittel und Schmiercompound auf Basis eines Mineralöl-/Esterölgemisches. Es enthält Festschmierstoffe sowie Metallpigmente und ist anorganisch eingedickt. Ab ca. 200 °C verdampft die Basisflüssigkeit und hinterlässt einen gleichmäßigen Film von Festschmierstoffen, der die Reibflächen voneinander trennt und Trockenschmierung gewährleistet.</p>  <h3>Vorteile</h3>  <ul>   <li>Sehr guter Korrosionsschutz für erhöhte Lebensdauer der Bauteile</li>   <li>Fertiges Produkt, nach kräftigem Aufschütteln anwendungsbereit</li>   <li>Geringe Verbrauchsmengen, hohe Effizienz</li>   <li>Schnelles Einbringen in die Reibstelle reduziert Arbeitszeit</li>   <li>Leichtes Aufschütteln im 5 Liter Kanister</li>   <li>Vollständige Nutzung des 5 Liter Gebindes mit Klübermatic KD</li> </ul>  <h3>Anwendungsgebiete</h3>  <p>WOLFRACOAT C FLUID wurde für die Schmierung thermisch hochbeanspruchter Flächen entwickelt. Es wird typischerweise in Drehrohröfen der Grundstoffindustrie, wie Chemie, Zement und Eisenerzaufbereitung, eingesetzt. Weitere Anwendungen umfassen die Gießpfannenschmierung in der Stahlindustrie sowie Hochtemperaturverschraubungen.</p>  <ul>   <li>Drehrohröfen in der Grundstoffindustrie</li>   <li>Schmierung von Innenflächen und Gleitblechen</li>   <li>Gießpfannenschmierung in der Stahlindustrie</li>   <li>Hochtemperaturverschraubungen</li> </ul>  <h3>Anwendungshinweise</h3>  <p>WOLFRACOAT C FLUID wird normalerweise mit dem Handspritzgerät Klübermatic KD zwischen Laufring und Ofenmantelfläche eingespritzt. Alternativ können andere handelsübliche Geräte oder Pinsel verwendet werden. Vor der Anwendung muss das Produkt kräftig aufgeschüttelt werden, um eine homogene Verteilung der Festschmierstoffe zu gewährleisten. Einmal wöchentlich sollten je nach Breite der Laufringe 2-3 Liter nachgeschmiert werden.</p>  <p>Weitere Anwendungstipps:</p> <ul>   <li>Auf saubere und gut gereinigte Oberflächen auftragen</li>   <li>Dicht, gleichmäßig und dünn auftragen</li>   <li>Überschüssige Paste mit einem Lederlappen verreiben</li>   <li>Festschmierstoffe vor Gebrauch gut aufrühren</li> </ul> } 
1152050;<h2>Klübertemp HCB 83-402: Hochtemperaturschmierstoff für Rollenketten in Textilspannrahmen</h2>  <p>Effizientes Hochtemperaturschmiermittel für lange Nachschmierintervalle und beständig gegenüber aggressiven Chemikalien.</p>  <h3>Inhaltsverzeichnis</h3> <ul>   <li>Produktbeschreibung</li>   <li>Vorteile</li>   <li>Anwendungsgebiete</li>   <li>Anwendungshinweise</li> </ul>  <h3>Produktbeschreibung</h3> <p>Klübertemp HCB 83-402 ist ein synthetischer Hochtemperaturschmierstoff, entwickelt für Rollenketten in Textilspannrahmen. Er basiert auf perfluorierten Polyetherölen und einer PTFE-Festschmierstoffkombination, was eine hohe Temperaturbeständigkeit und lange Nachschmierintervalle ermöglicht. Dieser Schmierstoff minimiert Fettverhärtung im Dauerbetrieb und bietet optimalen Verschleißschutz. Klübertemp HCB 83-402 ist besonders beständig gegen aggressive Chemikalien aus Textilavivage und Appretur.</p>  <h3>Vorteile</h3> <ul>   <li>Hohe Wirtschaftlichkeit durch lange Nachschmierintervalle</li>   <li>Beständig gegenüber aggressiven Chemikalien aus Textilavivage und Appretur</li>   <li>Langjährig bewährt bei führenden Herstellern von Textilspannrahmen</li> </ul>  <h3>Anwendungsgebiete</h3> <p>Klübertemp HCB 83-402 ist speziell für die Langzeitschmierung von Wälzlagern in Rollenketten in Hochleistungs-Textilspannrahmen entwickelt. Es wird unter extremen Temperaturen von über 200 °C und in Kontakt mit aggressiven Medien eingesetzt. Ideal für den Einsatz in Trocknungs-, Veredelungs- und Thermofixierprozessen.</p> <ul>   <li>Textilspannrahmen</li>   <li>Rollenketten in Hochtemperaturumgebungen</li>   <li>Industrieanlagen mit aggressiven Medien</li> </ul>  <h3>Anwendungshinweise</h3> <p>Klübertemp HCB 83-402 kann mit Spatel, Pinsel oder Fettpresse aufgetragen werden. Vor der ersten Anwendung sollten die Reibstellen mit Testbenzin 180/210 und anschließend mit Klüberalfa XZ 3-1 gereinigt werden. Die Reibstellen müssen metallisch blank und frei von Schmutzpartikeln sein. Nach der Reinigung sollten die Stellen mit sauberer, trockener Druckluft oder einer Wärmedusche behandelt werden, um das Testbenzin rückstandsfrei zu entfernen. Für die Optimierung der Standzeiten oder weitere anwendungstechnische Fragen stehen unsere Experten gerne zur Verfügung.</p> } 
